filename	NH	NC	NN	NO	NF	mu	alpha	HOMO	HOMO_ev	HOMO_kcm	HOMO_kjm	LUMO	LUMO_ev	LUMO_kcm	LUMO_kjm	gap	gap_ev	gap_kcm	gap_kjm	zpve	zpve_ev	zpve_kcm	zpve_kjm	zpve_cmi	U0	U0_ev	U0_kcm	U0_kjm	U	U_ev	U_kcm	U_kjm	H	H_ev	H_kcm	H_kjm	G	G_ev	G_kcm	G_kjm	Cv
bigqm7wdef2tzvp_000001.xyz	04	01	00	00	00	0.00003032	15.02740000	-0.47686000	-12.97602051	-299.23416539	-1251.99574800	0.12902000	3.51081275	80.96127169	338.74196076	0.60588000	16.48683326	380.19543708	1590.73770876	0.04485700	1.22062105	28.14819225	117.77203638	9844.97354403	-0.62137700	-16.90852807	-389.91995132	-1631.42507634	-0.62558900	-17.02314242	-392.56302121	-1642.48368073	-0.62936500	-17.12589261	-394.93249696	-1652.39756729	-0.58387100	-15.88793791	-366.38458118	-1532.95308766	6.46900000
bigqm7wdef2tzvp_000002.xyz	03	00	01	00	00	1.69714000	10.33910000	-0.34993000	-9.52207956	-219.58438849	-918.74108144	0.10783000	2.93420352	67.66434604	283.10762385	0.45776000	12.45628308	287.24873453	1201.84870529	0.03456400	0.94053427	21.68923729	90.74776881	7585.92116227	-0.43488000	-11.83368662	-272.89131788	-1141.77727402	-0.43767200	-11.90966080	-274.64332432	-1149.10766896	-0.44050400	-11.98672344	-276.42043114	-1156.54308388	-0.40693800	-11.07334613	-255.35744830	-1068.41556369	6.39900000
bigqm7wdef2tzvp_000003.xyz	02	00	00	01	00	2.08599000	6.53977000	-0.40053000	-10.89897558	-251.33636762	-1051.59136213	0.10412000	2.83324929	65.33628591	273.36702026	0.50465000	13.73222487	316.67265354	1324.95838239	0.02161200	0.58809243	13.56173464	56.74229775	4743.28573542	-0.33986400	-9.24816977	-213.26787818	-892.31280229	-0.34127700	-9.28661945	-214.15454906	-896.02263325	-0.34316500	-9.33799455	-215.33928693	-900.97957653	-0.32122900	-8.74108563	-201.57423922	-843.38661690	6.01000000
bigqm7wdef2tzvp_000004.xyz	01	00	00	00	01	1.93339000	3.43915000	-0.50154000	-13.64759747	-314.72109909	-1316.79307858	0.10570000	2.87624327	66.32775087	277.51530966	0.60724000	16.52384074	381.04884996	1594.30838824	0.00949600	0.25839930	5.95882992	24.93174438	2084.13110048	-0.20835400	-5.66960067	-130.74410791	-547.03334748	-0.20882700	-5.68247166	-131.04091988	-548.27520880	-0.20977100	-5.70815921	-131.63328882	-550.75368044	-0.19928400	-5.42279342	-125.05259702	-523.22006594	4.96800000
bigqm7wdef2tzvp_000005.xyz	06	02	00	00	00	0.00000000	26.77480000	-0.42403000	-11.53844310	-266.08284014	-1113.29060316	0.11924000	3.24468541	74.82422908	313.06457449	0.54327000	14.78312851	340.90706923	1426.35517765	0.07496700	2.03995581	47.04250236	196.82582989	16453.35469771	-1.05704800	-28.76373890	-663.30762920	-2775.27912056	-1.06489500	-28.97726663	-668.23169600	-2795.88141607	-1.07150300	-29.15707945	-672.37827857	-2813.23071755	-0.98544200	-26.81524054	-618.37418616	-2587.27759489	10.04500000
bigqm7wdef2tzvp_000006.xyz	05	01	01	00	00	1.37367000	22.37450000	-0.32029000	-8.71553414	-200.98500783	-840.92127276	0.11200000	3.04767499	70.28106053	294.05595725	0.43229000	11.76320913	271.26606836	1134.97723001	0.06443500	1.75336552	40.43357264	169.17406791	14141.84787902	-0.85892500	-23.37253789	-538.98357067	-2255.10725968	-0.86541000	-23.54900371	-543.05296958	-2272.13362470	-0.87107400	-23.70312899	-546.60718321	-2287.00445454	-0.79898500	-21.74148754	-501.37065310	-2097.73481256	9.52000000
bigqm7wdef2tzvp_000007.xyz	04	01	00	01	00	1.70454000	18.47060000	-0.36179000	-9.84480657	-227.02665079	-949.87950692	0.11154000	3.03515776	69.99240617	292.84822743	0.47333000	12.87996433	297.01905697	1242.72773435	0.05167700	1.40620268	32.42780683	135.67794378	11341.79053068	-0.75934300	-20.66277386	-476.49492273	-1993.65475669	-0.76450500	-20.80323903	-479.73412661	-2007.20758572	-0.76922400	-20.93164955	-482.69534379	-2019.59731841	-0.70997300	-19.31934784	-445.51478024	-1864.03384053	8.74500000
bigqm7wdef2tzvp_000008.xyz	03	01	00	00	01	1.82764000	14.99180000	-0.43303000	-11.78334556	-271.73042537	-1136.92009973	0.13109000	3.56714031	82.26021629	344.17674497	0.56412000	15.35048587	353.99064166	1481.09684470	0.03942900	1.07291765	24.74207085	103.52082445	8653.66524439	-0.63000100	-17.14319905	-395.33159299	-1654.06738505	-0.63417500	-17.25677937	-397.95081751	-1665.02622046	-0.63795100	-17.35952955	-400.32029326	-1674.94010702	-0.59112800	-16.08541092	-370.93841740	-1552.00633839	6.88400000
bigqm7wdef2tzvp_000009.xyz	00	00	00	00	02	0.00000000	5.88753000	-0.49912000	-13.58174592	-313.20252617	-1310.43936950	-0.04526000	-1.23158723	-28.40107857	-118.83011273	0.45386000	12.35015868	284.80144760	1191.60925678	0.00249300	0.06783798	1.56438111	6.54537055	547.15025626	-0.05469800	-1.48840827	-34.32351294	-143.60957812	-0.05514600	-1.50059897	-34.60463718	-144.78580195	-0.05608900	-1.52625931	-35.19637861	-147.26164809	-0.04466000	-1.21526040	-28.02457289	-117.25481295	5.25300000
bigqm7wdef2tzvp_000010.xyz	04	02	00	00	00	0.00000000	24.85190000	-0.36036000	-9.80589429	-226.12931225	-946.12504246	0.07338000	1.99677135	46.04664484	192.65916199	0.43374000	11.80266564	272.17595709	1138.78420446	0.05134900	1.39727735	32.22198372	134.81677990	11269.80285156	-0.84225400	-22.91889691	-528.52236031	-2211.33755554	-0.84771900	-23.06760712	-531.95169956	-2225.68591096	-0.85243900	-23.19604485	-534.91354425	-2238.07826915	-0.79140200	-21.53514362	-496.61224879	-2077.82564895	8.01300000
