SMI,Natoms,atoms,coords(Ang),S1_SCSPBEQIDH(eV),T1_SCSPBEQIDH(eV),f01_SCSPBEQIDH(au),S1_ADC2(eV),T1_ADC2(eV),f01_ADC2(au)
'C',5,"['C','H','H','H','H']","[[1e-06,6e-06,-0.0],[0.985233,0.46299,-0.028035],[-0.05618,-0.682943,0.846305],[-0.168125,-0.551911,-0.923536],[-0.760937,0.771825,0.105269]]",11.773,10.979,0.266038908,11.854342,10.983224,0.248121
'N',4,"['N','H','H','H']","[[2e-06,-0.0,0.110463],[0.154111,0.929092,-0.257758],[0.727563,-0.598011,-0.257757],[-0.881687,-0.331078,-0.257728]]",7.272,6.839,0.060351256,7.162817,6.737958,0.061340
'O',3,"['O','H','H']","[[0.0,0.0,0.116015],[0.0,0.761895,-0.464058],[-0.0,-0.761895,-0.464058]]",8.060,7.544,0.033593848,7.830631,7.332309,0.037372
'F',2,"['F','H']","[[0.0,0.0,0.091801],[0.0,0.0,-0.826212]]",10.602,10.103,0.024017441,10.323755,9.861395,0.028229
'CC',8,"['C','C','H','H','H','H','H','H']","[[0.0,0.0,0.761397],[-0.0,-0.0,-0.761397],[0.0,1.01711,1.157248],[0.880843,-0.508555,1.157248],[-0.880843,-0.508555,1.157248],[0.880843,0.508555,-1.157248],[-0.880843,0.508555,-1.157248],[-0.0,-1.01711,-1.157248]]",10.256,9.812,0.000000000,10.290463,9.797613,0.000000
'CN',7,"['C','N','H','H','H','H','H']","[[-0.049078,0.702042,0.0],[-0.049078,-0.754243,-0.0],[0.946109,1.166603,0.0],[-0.587574,1.062597,0.87777],[-0.587574,1.062597,-0.87777],[0.433525,-1.112175,0.812504],[0.433525,-1.112175,-0.812504]]",6.750,6.414,0.008519094,6.577073,6.250106,0.009631
'CO',6,"['C','O','H','H','H','H']","[[0.046419,0.658432,0.0],[0.046419,-0.751929,0.0],[-0.438905,1.073261,0.890797],[-0.438905,1.073261,-0.890797],[1.087855,0.977571,0.0],[-0.859911,-1.059251,0.0]]",7.564,7.174,0.000134366,7.261281,6.901525,0.000959
'CF',5,"['C','F','H','H','H']","[[-0.630149,-1e-06,3e-06],[0.748512,2e-06,-1e-06],[-0.98525,0.899676,0.505416],[-0.985222,-0.887557,0.526417],[-0.985245,-0.012128,-1.03184]]",10.246,9.730,0.014699999,9.984023,9.550963,0.010069
'FF',2,"['F','F']","[[0.0,0.0,0.688193],[0.0,0.0,-0.688193]]",5.274,3.836,0.000034634,5.351557,4.007584,0.000039
'C=C',6,"['C','C','H','H','H','H']","[[-0.0,-0.0,0.660866],[0.0,-0.0,-0.660866],[0.0,0.922586,1.229258],[-0.0,-0.922586,1.229258],[0.0,0.922586,-1.229258],[-0.0,-0.922586,-1.229258]]",8.447,4.555,0.571448067,8.347464,4.723185,0.426068
'C=O',4,"['C','O','H','H']","[[-0.0,0.0,-0.524273],[0.0,-0.0,0.670793],[0.0,0.939221,-1.110351],[-0.0,-0.939221,-1.110351]]",4.124,3.559,0.000000000,4.074489,3.586378,0.000000
'C#C',4,"['C','C','H','H']","[[0.0,0.0,0.597322],[0.0,0.0,-0.597322],[0.0,0.0,1.661338],[0.0,0.0,-1.661338]]",7.208,5.540,0.000000000,7.490127,5.917899,0.000000
'CCC',11,"['C','C','C','H','H','H','H','H','H','H','H']","[[-0.0,1.267731,-0.259082],[0.0,0.0,0.585552],[-0.0,-1.267731,-0.259082],[0.0,2.164308,0.363087],[-0.881453,1.307675,-0.903652],[0.881453,1.307675,-0.903652],[-0.874532,0.0,1.242055],[0.874532,-0.0,1.242055],[-0.881453,-1.307675,-0.903652],[-0.0,-2.164308,0.363087],[0.881453,-1.307675,-0.903652]]",9.808,9.416,0.001227175,9.818989,9.381430,0.001551
