Index	E1_eV	E1_nm	E2_eV	E2_nm	f1_au	f2_au	n_C	n_H	n_N	n_O	n_F
1	11.78121926	105.2388423	11.78142933	105.2369658	0.24972825	0.24973648	1	4	0	0	0
2	7.21699017	171.7948683	9.52617868	130.1510204	0.06701544	0.03004918	0	3	1	0	0
3	7.79707782	159.0136592	9.89348774	125.3189885	0.03775532	0	0	2	0	1	0
4	9.75878241	127.0488288	9.75878241	127.0488288	0	0	2	2	0	0	0
5	8.70648962	142.4043363	9.14504026	135.5753327	0	0	1	1	1	0	0
6	4.18820069	296.032107	7.92487418	156.4494081	0	0.09102332	1	2	0	1	0
7	10.23522272	121.1348214	10.23544449	121.1321967	0	0	2	6	0	0	0
8	7.25702111	170.8472191	9.06657487	136.7486502	0.0009443	0.07160772	1	4	0	1	0
9	7.43929683	166.6611648	7.77564206	159.4520255	0	0.0011942	3	4	0	0	0
10	8.6982579	142.5391026	9.09985684	136.2485034	0.00000001	0.002747	2	3	1	0	0
11	4.50965965	274.9302543	7.7703625	159.5603648	0.00004483	0.04090803	2	4	0	1	0
12	5.88625717	210.6333176	7.67959267	161.4463069	0.00093894	0.01318951	1	3	1	1	0
13	9.76363882	126.985635	10.04792894	123.3927791	0.0015726	0.00298485	3	8	0	0	0
14	7.25724234	170.8420111	8.82628447	140.4715517	0.00021511	0.02683589	2	6	0	1	0
15	7.45870563	166.2274847	8.56314576	144.7881316	0.04407212	0.06006052	2	6	0	1	0
16	8.92947848	138.8481846	8.93033808	138.8348195	0.00723734	0.00724217	3	6	0	0	0
17	8.0642498	153.7454699	8.15844473	151.9703714	0.00682283	0.06824817	2	4	0	1	0
18	4.63360724	267.5759538	7.03589786	176.2165824	0	0.03421965	3	6	0	1	0
19	5.87663876	210.9780652	7.01411161	176.7639216	0.00060996	0.02983451	2	5	1	1	0
20	6.72760867	184.2916163	7.46335578	166.1239142	0.00162354	0.00017353	1	4	2	1	0
21	9.55053532	129.8190975	9.57343696	129.5085433	0.00336788	0.08406773	4	10	0	0	0
22	7.27840653	170.3452356	8.91588938	139.0598091	0.00791669	0.02838775	3	8	0	1	0
23	5.59260824	221.6929601	5.84156682	212.2447475	0	0	4	2	0	0	0
24	6.09034772	203.5748914	6.36171896	194.8910167	0	0	3	1	1	0	0
25	6.76995584	183.1388424	7.06936977	175.3822357	0	0	2	0	2	0	0
26	4.02103926	308.3386648	5.81721672	213.1331762	0.0001902	0.0000013	3	2	0	1	0
27	4.04608026	306.4303711	6.84313378	181.1804233	0.00057006	0.0000006	2	1	1	1	0
28	2.94125154	421.5354781	4.55590268	272.1396752	0.00023698	0.00000003	2	2	0	2	0
29	8.08811255	153.2918672	8.08811364	153.2918466	0.00088754	0.00088757	4	6	0	0	0
30	7.38169115	167.9617651	7.7089641	160.8311908	-0.00000003	0.00586998	4	6	0	0	0
31	8.60926715	144.0124755	8.98612278	137.9729507	0.00000026	0.01254975	3	5	1	0	0
32	6.78267607	182.7953837	8.38582523	147.8497156	0.0106756	0.01243531	2	4	2	0	0
33	6.84387829	181.1607138	7.37040251	168.2190184	0.00003871	0.00062872	3	4	0	1	0
34	7.25870985	170.8074715	8.33714461	148.7130107	0.00059447	0.00026232	2	3	1	1	0
35	4.42873681	279.9538399	7.72813016	160.4323231	0.00006317	0.03116543	3	6	0	1	0
36	5.94598235	208.5175843	7.11579076	174.2381019	0.00108821	0.00033806	2	5	1	1	0
37	5.99920074	206.6678428	8.00918512	154.8024995	0.00139328	0.16883815	2	4	0	2	0
38	4.28154363	289.5782416	7.1273009	173.9567183	0.00005933	0.00779802	2	4	0	2	0
39	9.53484932	130.0326659	9.62976262	128.751032	0	0	4	10	0	0	0
40	7.2482751	171.0533691	8.66514247	143.083842	0.000464	0.02020706	3	8	0	1	0
41	7.41375133	167.2354278	8.4488419	146.7469614	0.04621341	0.01012909	3	8	0	1	0
42	7.0780385	175.1674387	7.82569821	158.4321094	0.00150981	0.02465486	2	6	0	2	0
43	8.49393687	145.9678702	8.76001985	141.5341399	0.01500499	0.0014859	4	8	0	0	0
44	8.07262139	153.5860306	8.1731952	151.6961047	0.04113072	0.00139895	3	6	0	1	0
45	7.19742981	172.2617529	7.94555756	156.0421489	0.04791519	0.04187646	3	7	1	0	0
46	6.85107025	180.9705388	7.83284773	158.2874987	0.0111223	0.00012395	3	6	0	1	0
47	8.96764108	138.2573036	8.96764435	138.2572533	0.04571176	0.04571177	4	8	0	0	0
48	6.99807676	177.1689448	7.36444702	168.3550539	0.00185255	0.02342146	3	6	0	1	0
49	6.45426134	192.0966336	7.13648012	173.7329685	0.00328793	0.00624889	3	7	1	1	0
50	6.37285413	194.5504872	6.83255454	181.4609555	0	0.16817265	4	5	1	0	0
51	6.74042768	183.9411287	6.779565	182.8792668	0.09748489	0.00000904	3	4	2	0	0
52	6.72159305	184.4565517	7.88137842	157.3128214	0.16730295	0.00000001	4	4	0	1	0
53	6.70977977	184.781307	6.75811045	183.459842	0.00292142	0.12931429	3	3	1	1	0
54	9.2272619	134.3672575	9.22752503	134.3634258	0.11331101	0.11331432	5	12	0	0	0
55	7.20841858	171.9991509	8.92895765	138.8562836	0.01832198	0.07629757	4	10	0	1	0
56	4.17950965	296.6476883	5.99983095	206.6461347	0.00010653	0.00000347	4	4	0	1	0
57	4.24961978	291.7536015	7.04369801	176.0214413	0.00040619	0.00009366	3	3	1	1	0
59	5.17183916	239.7293957	6.72093535	184.4746023	0.00003142	0.00002562	3	3	1	1	0
60	2.98058723	415.9723502	4.67638271	265.1284018	0.00016349	0.00002043	3	4	0	2	0
62	3.53318948	350.9129304	4.93915162	251.0232467	0.00006764	0.00021078	2	3	1	2	0
63	7.37895015	168.0241566	7.6952814	161.1171589	0.0002743	0.00647801	5	8	0	0	0
64	8.59073729	144.3231045	8.94670954	138.5807676	0.00053144	0.01546405	4	7	1	0	0
65	7.09586849	174.7272906	8.09319863	153.1955326	0.02763341	0.00909795	3	6	2	0	0
66	7.165205	173.0364833	7.4304447	166.8597137	0.00095523	0.02182075	4	6	0	1	0
67	7.65427194	161.9803798	8.34284893	148.61133	0.01666812	0.00038242	3	5	1	1	0
68	4.420264	280.4904584	7.68149257	161.4063756	0.00006782	0.03240739	4	8	0	1	0
69	4.37355865	283.4858233	7.05304811	175.7880927	0.00005117	0.01784892	3	6	0	2	0
70	5.9004558	210.1264577	6.9686803	177.9163086	0.00096671	0.28673165	3	7	1	1	0
71	4.89256464	253.4134889	6.86643244	180.5656556	0.00001209	0.03148062	3	6	0	2	0
72	4.65125654	266.5606305	6.92258068	179.1011087	0.0000218	0.02299393	4	8	0	1	0
73	5.88138905	210.807662	7.00960704	176.8775151	0.00046795	0.02787351	3	7	1	1	0
74	5.98435747	207.1804502	6.93462879	178.7899413	0.0004986	0.00003644	3	7	1	1	0
75	6.78340752	182.7756732	6.83292271	181.4511781	0.0056701	0.0012014	2	6	2	1	0
76	6.81845823	181.8361034	7.82356919	158.4752233	0.00143573	0.01106529	3	7	1	1	0
77	6.11660181	202.7010937	8.0594889	153.8362905	0.0012191	0.02377245	3	6	0	2	0
78	7.24303963	171.1770112	7.69047723	161.2178073	0.00055197	0.01348649	2	5	1	2	0
79	5.78757509	214.2247586	6.97998228	177.6282268	0.00114234	0.02088433	2	5	1	2	0
81	7.23028538	171.4789681	8.71846508	142.2087334	0.0004801	0.03272819	4	10	0	1	0
82	7.49320313	165.4622001	7.71782412	160.6465573	0.00731406	0.00396631	3	8	0	2	0
83	9.28709892	133.5015258	9.46649133	130.971638	0.01246577	0.04292418	5	12	0	0	0
84	7.24963648	171.0212476	8.93422849	138.7743638	0.0084549	0.03128601	4	10	0	1	0
85	7.40401292	167.4553906	8.31612545	149.0888856	0.01981375	0.0259593	4	10	0	1	0
86	8.03837232	154.2404141	8.52871193	145.3726993	0.04604925	0.02121713	5	10	0	0	0
87	7.77782006	159.4073746	8.0234681	154.5269277	0.0000117	0.00666135	4	8	0	1	0
88	7.18146571	172.6446837	8.09914759	153.0830081	0.01065313	0.05141457	4	8	0	1	0
89	6.98016324	177.6236219	7.61702527	162.7724515	0.01045335	0.15250756	3	5	1	1	0
90	4.41525411	280.8087245	7.18397895	172.5842857	0.00000233	0.04850829	4	6	0	1	0
91	6.22081107	199.3055025	7.41211239	167.2724063	0.00070019	0.00005168	3	5	1	1	0
92	6.22849801	199.0595283	7.89289564	157.0832724	0.00077007	0.0769789	3	4	0	2	0
93	4.53139148	273.6117328	5.57553527	222.3718108	0.00001044	0.00035556	3	5	1	1	0
94	4.59474747	269.838959	7.32505066	169.260519	0	0.01225434	3	4	0	2	0
95	8.69913384	142.52475	8.79947119	140.8995891	0.00066894	0.07029634	5	10	0	0	0
96	7.18869931	172.4709606	7.50534104	165.1946086	0.01094762	0.01328518	4	8	0	1	0
97	6.995351	177.2379793	7.32657477	169.2253086	0.00091973	0.02302871	4	8	0	1	0
98	7.25349968	170.930162	8.24649206	150.3477923	0.0117627	0.02115054	4	8	0	1	0
99	6.87224425	180.4129526	7.17877668	172.709353	0.00064645	0.00363019	3	6	0	2	0
100	8.06492111	153.7326725	8.28100426	149.7211977	0.01122798	0.00046765	5	10	0	0	0
101	7.27325215	170.4659552	8.03870865	154.2339608	0.00515069	0.01324549	4	8	0	1	0
102	6.87516729	180.3362482	7.5383577	164.4710857	0.01928799	0.01823087	4	9	1	0	0
103	7.87460333	157.448169	8.29930718	149.3910092	0.04827181	0.0276281	4	8	0	1	0
104	6.95879604	178.1690206	7.75807384	159.8131058	0.01695807	0.00959209	3	6	0	2	0
105	9.33128123	132.8694148	9.36111143	132.4460118	0.00000004	0.04283714	5	8	0	0	0
106	7.23213113	171.4352041	8.38716593	147.8260816	0	0	4	6	0	1	0
107	7.34269044	168.8538944	7.7311411	160.3698418	0.00026324	0.0065667	5	4	0	0	0
108	7.39900303	167.5687751	7.77501919	159.4647994	0.00020698	0.00293634	4	3	1	0	0
109	8.51339111	145.6343142	8.9956337	137.8270744	0.00109568	0.0024244	3	2	2	0	0
110	4.47388702	277.1285615	7.2489698	171.0369762	0.00030338	0.00037486	4	4	0	1	0
111	4.47949475	276.781634	7.92917875	156.3644753	0.00014175	0.0152325	3	3	1	1	0
112	5.00531773	247.7049294	6.07158275	204.2040646	0.00010023	0.00363627	2	4	2	1	0
113	5.82843135	212.7230814	6.34365441	195.4459993	0.00073693	0.00370983	2	3	1	2	0
114	4.69806937	263.9045483	6.68850972	185.3689278	0.00158622	0.20462287	2	3	1	2	0
115	5.55213212	223.3091446	5.78811006	214.2049585	0	0.00024768	5	4	0	0	0
116	6.0233386	205.8396445	6.27274345	197.6554415	0	0.00038407	4	3	1	0	0
117	4.05388693	305.8402703	5.60901534	221.0444791	0.00023359	0.00009892	4	4	0	1	0
118	6.77494614	183.0039458	7.3194247	169.3906182	0.00017689	0.0002475	4	6	0	1	0
