Index	Formation_Energy_eV	Atomization_Energy_eV	Bandgap_eV	Bandgap_nm	Smallest_Direct_Bandgap_eV	Smallest_Direct_Bandgap_nm	No_of_im_wave_nos_dimensionless	Lowest_wave_no_cm-1	Lowest_wave_no_THz	q*_A-1	I1/I3_dimensionless	I2/I3_dimensionless
1	0.281019	-4.868637651	6.12637836	202.3776206	6.12637836	202.3776206	0	8.441982	0.2530838668	0	0.750673	0.999997
2	0.225151	-4.810532397	6.35351359	195.1427124	6.35351359	195.1427124	1	-17.351049	-0.5201705682	0.5	0.663471	0.982494
3	0.484622	-4.366132393	2.10958543	587.7182587	2.47010653	501.9386251	2	-47.717004	-1.430517606	0.5	0.756637	0.936288
4	0.185951	-4.710431525	6.68326348	185.514439	6.68498058	185.4667879	1	-14.026722	-0.4205099042	0.5	0.645216	0.971654
5	0.390122	-4.460631966	3.23049377	383.7933033	3.62604218	341.9270416	4	-182.72525	-5.477956815	0	0.520956	0.963961
6	0.198774	-4.508115864	4.56653166	271.5062476	4.58273015	270.5465595	1	-14.101849	-0.4227621515	0.5	0.641104	0.916812
7	0.158803	-4.737579027	6.69098962	185.300224	6.69098962	185.300224	1	-26.567209	-0.7964636721	0.5	0.679982	0.981077
8	0.359662	-4.347228257	3.38286706	366.5062367	3.38286706	366.5062367	1	-30.835602	-0.9244266795	0.5	0.698314	0.922793
9	0.170641	-4.551615169	6.93055908	178.8949291	6.93055908	178.8949291	4	-99.277639	-2.976264195	0.5	0.420822	0.896581
10	0.165018	-4.611952479	5.34786192	231.8387973	5.45030323	227.4812654	1	-15.995299	-0.4795262678	0.5	0.711828	0.900367
11	0.093099	-4.541571822	5.01244453	247.3527374	5.01244453	247.3527374	1	-20.764318	-0.6224976422	0.5	0.708396	0.984201
12	0.238761	-4.538210077	5.11475168	242.4050967	5.52510475	224.4015148	1	-11.94209	-0.3580143045	0.5	0.686063	0.905704
13	0.635864	-4.308717627	3.33218887	372.0803123	3.8888551	318.8192523	1	-16.423943	-0.492376672	0.5	0.355884	0.905785
14	0.052489	-4.416709157	5.86447425	211.4156909	5.86447425	211.4156909	1	-29.412208	-0.8817544661	0.5	0.731169	0.99265
15	0.12033	-4.488594357	5.52074898	224.5785635	5.6120375	220.9254438	1	-12.538912	-0.3759065506	0.5	0.739486	0.892133
16	-0.041118	-4.510317148	4.84171018	256.0751944	4.84171018	256.0751944	3	-53.594137	-1.606709352	0	0.401764	0.895813
17	0.11016	-4.359039051	5.55603268	223.1523727	5.55603268	223.1523727	3	-70.299617	-2.107526278	0.5	0.451079	0.907416
18	0.590774	-4.569709918	3.55273796	348.9820779	3.55273796	348.9820779	1	-13.556682	-0.406418481	0.5	0.630455	0.875513
19	0.034302	-4.574621792	5.51077477	224.9850388	5.51077477	224.9850388	1	-14.910591	-0.4470075897	0.5	0.248208	0.840965
20	0.464241	-4.55513024	4.10909341	301.7312462	4.10909341	301.7312462	5	-59.149197	-1.773245607	0	0.624096	0.87329
21	0.535741	-4.483629991	4.15335827	298.5155132	4.15335827	298.5155132	1	-24.346874	-0.729899805	0.5	0.382117	0.935084
22	0.111374	-4.497550504	5.67963594	218.296012	5.98613555	207.1189109	1	-14.814143	-0.4441161558	0.5	0.741191	0.8652
23	0.061041	-4.219526349	3.95125624	313.7842246	3.95125624	313.7842246	1	-23.616865	-0.7080147192	0.5	0.583939	0.955022
24	0.497445	-4.375581224	3.40083798	364.5695216	3.40083798	364.5695216	1	-15.129403	-0.4535673984	0.5	0.69626	0.852711
25	0.158257	-4.310942073	5.57007133	222.5899458	5.57007133	222.5899458	1	-27.520475	-0.8250418241	0.5	0.654468	0.971188
26	0.209628	-4.399296537	4.92405719	251.7927448	5.30054071	233.9085658	1	-10.732914	-0.3217641754	0.5	0.709455	0.932535
27	0.508763	-4.19812751	1.83742661	674.7708282	2.2639298	547.6503182	3	-89.826323	-2.692921302	0.5	0.531092	0.881395
28	0.330544	-4.464614931	5.22958908	237.0820836	5.22995817	237.0653522	1	-22.974353	-0.6887527235	0.5	0.416578	0.756623
29	0.017002	-4.452196717	5.23980704	236.6197583	5.23980704	236.6197583	1	-27.738508	-0.831578279	0.5	0.568411	0.947516
30	0.094578	-4.24118961	3.92739759	315.6904406	4.39012912	282.4158109	2	-65.606143	-1.966819682	0.5	0.471415	0.947651
31	0.020758	-4.246196805	5.65207637	219.3604251	5.76237521	215.1616009	3	-71.653741	-2.148121832	0.5	0.499787	0.914982
32	0.118707	-4.412350107	4.50418287	275.264551	4.50418287	275.264551	1	-26.388185	-0.7910966758	0.5	0.619516	0.891453
33	0.163274	-4.235591981	4.3184928	287.1006003	4.72454179	262.4258458	3	-43.223929	-1.295818812	0	0.41466	0.837184
34	0.216842	-4.231336127	4.27734408	289.8625531	4.29908316	288.3968114	1	-6.775121	-0.2031127075	0.08	0.685268	0.85226
35	0.79308	-4.266180758	4.04462175	306.5408713	4.53678804	273.2862687	1	-11.907873	-0.3569885062	0.5	0.348814	0.853109
